prefecture-level city,Prefecture level city code,year,Local general public budget expenditures_Ten thousand yuan_Citywide,science and technology expenditure_Ten thousand yuan_Citywide,Scientific and technological level
Tongling City,340700,2004,121028,478,0.0039495
Tongling City,340700,2005,157880,658,0.00416772
Tongling City,340700,2006,205908,971,0.0047157
Tongling City,340700,2007,261662,4627,0.01768312
Tongling City,340700,2008,357598,5876,0.01643186
Tongling City,340700,2009,486384,8547,0.01757254
Tongling City,340700,2010,573219,12004,0.02094139
Tongling City,340700,2011,706635,17938,0.0253851
Tongling City,340700,2012,963949,43811,0.0454495
Tongling City,340700,2013,1005932,48551,0.04826469
Tongling City,340700,2014,1052923,73924,0.07020836
Tongling City,340700,2015,1108225,77820,0.0702204
Tongling City,340700,2016,1510941,83119,0.05501141
Tongling City,340700,2017,1602757,83439,0.05205967
Tongling City,340700,2018,1543463,60856,0.03942822
Tongling City,340700,2019,1689119,94664,0.05604342
Tongling City,340700,2020,1824860,103108,0.05650187
Tongling City,340700,2021,1946768,125226,0.06432508
Anqing City,340800,2003,317471,701,0.00220808
Anqing City,340800,2004,399017,692,0.00173426
Anqing City,340800,2005,462453,679,0.00146826
Anqing City,340800,2006,623230,1080,0.00173291
Anqing City,340800,2007,824967,3413,0.00413714
Anqing City,340800,2008,1119717,9892,0.00883438
Anqing City,340800,2009,1399597,16894,0.01207062
Anqing City,340800,2010,1618318,24815,0.01533382
Anqing City,340800,2011,2148887,34719,0.01615674
Anqing City,340800,2012,2456795,45079,0.0183487
Anqing City,340800,2013,2797223,55834,0.01996051
Anqing City,340800,2014,2994597,61902,0.02067123
Anqing City,340800,2015,3369012,71738,0.02129348
Anqing City,340800,2016,3371512,78775,0.02336489
Anqing City,340800,2017,3730026,95817,0.02568802
Anqing City,340800,2018,4201888,105295,0.02505897
Anqing City,340800,2019,4635724,113557,0.02449607
Anqing City,340800,2020,4829584,116519,0.02412609
Anqing City,340800,2021,4830012,130669,0.02705356
Huangshan City,341000,2003,140486,297,0.00211409
Huangshan City,341000,2004,163709,360,0.00219902
Huangshan City,341000,2005,208895,521,0.00249408
Huangshan City,341000,2006,269859,633,0.00234567
Huangshan City,341000,2007,336059,4281,0.01273883
Huangshan City,341000,2008,462269,7491,0.01620485
Huangshan City,341000,2009,580432,9745,0.01678922
Huangshan City,341000,2010,729805,14074,0.0192846
Huangshan City,341000,2011,962226,21190,0.02202185
Huangshan City,341000,2012,1259728,28881,0.02292638
Huangshan City,341000,2013,1367264,31778,0.02324204
Huangshan City,341000,2014,1494172,35777,0.02394437
Huangshan City,341000,2015,1598195,36897,0.02308667
Huangshan City,341000,2016,1710263,39754,0.02324438
Huangshan City,341000,2017,1857265,54102,0.02912993
Huangshan City,341000,2018,1856147,58540,0.03153845
Huangshan City,341000,2019,1968199,60796,0.03088915
Huangshan City,341000,2020,2062322,65260,0.03164394
Huangshan City,341000,2021,2138230,68230,0.03190957
Chuzhou City,341100,2003,231905,809,0.0034885
Chuzhou City,341100,2004,268511,838,0.00312091
Chuzhou City,341100,2005,302862,858,0.00283297
Chuzhou City,341100,2006,427648,1210,0.00282943
Chuzhou City,341100,2007,619492,4521,0.00729792
Chuzhou City,341100,2008,836922,6756,0.00807244
Chuzhou City,341100,2009,1078925,7440,0.00689575
Chuzhou City,341100,2010,1281171,13291,0.0103741
Chuzhou City,341100,2011,1832473,17422,0.00950737
Chuzhou City,341100,2012,2310284,31688,0.01371606
Chuzhou City,341100,2013,2508733,34755,0.01385361
Chuzhou City,341100,2014,2688462,46685,0.01736495
Chuzhou City,341100,2015,3026067,62250,0.02057126
Chuzhou City,341100,2016,3348542,77473,0.02313634
Chuzhou City,341100,2017,3802745,105515,0.02774706
Chuzhou City,341100,2018,4059925,109182,0.02689262
Chuzhou City,341100,2019,4551158,140483,0.03086753
Chuzhou City,341100,2020,4629403,152043,0.0328429
Chuzhou City,341100,2021,4617105,153804,0.03331178
Fuyang City,341200,2003,282239,518,0.00183532
Fuyang City,341200,2004,355663,838,0.00235616
Fuyang City,341200,2005,422073,1046,0.00247824
Fuyang City,341200,2006,564992,1014,0.00179472
Fuyang City,341200,2007,733023,2987,0.00407491
Fuyang City,341200,2008,1028010,3641,0.00354179
Fuyang City,341200,2009,1339949,4035,0.00301131
Fuyang City,341200,2010,1643492,5863,0.0035674
Fuyang City,341200,2011,2165641,13133,0.00606426
Fuyang City,341200,2012,2722879,18823,0.0069129
Fuyang City,341200,2013,3126496,19028,0.00608605
Fuyang City,341200,2014,3533451,16927,0.0047905
Fuyang City,341200,2015,4315957,38852,0.00900194
Fuyang City,341200,2016,4358049,49722,0.01140923
Fuyang City,341200,2017,5152125,54318,0.01054283
Fuyang City,341200,2018,5746681,50120,0.00872156
Fuyang City,341200,2019,6552803,72288,0.01103162
Fuyang City,341200,2020,6713497,72307,0.01077039
Fuyang City,341200,2021,6300493,75854,0.01203938
Suzhou City,341300,2003,194985,371,0.00190271
Suzhou City,341300,2004,239868,417,0.00173846
Suzhou City,341300,2005,262165,494,0.00188431
Suzhou City,341300,2006,396116,870,0.00219633
Suzhou City,341300,2007,508459,2772,0.00545177
Suzhou City,341300,2008,717405,4535,0.00632139
Suzhou City,341300,2009,954915,5019,0.00525597
Suzhou City,341300,2010,1131874,6587,0.00581955
Suzhou City,341300,2011,1567479,10299,0.00657042
Suzhou City,341300,2012,1937988,11604,0.00598765
Suzhou City,341300,2013,2226623,13649,0.00612991
Suzhou City,341300,2014,2472835,22436,0.00907299
Suzhou City,341300,2015,2946019,22463,0.00762487
Suzhou City,341300,2016,3113458,62472,0.02006515
Suzhou City,341300,2017,3459208,39433,0.01139943
Suzhou City,341300,2018,3965875,45939,0.01158357
Suzhou City,341300,2019,4498613,34949,0.00776884
Suzhou City,341300,2020,4859988,60456,0.01243954
Suzhou City,341300,2021,4740657,65979,0.01391769
Lu'an City,341500,2003,274660,679,0.00247215
Lu'an City,341500,2004,322178,860,0.00266933
Lu'an City,341500,2005,391623,853,0.00217812
Lu'an City,341500,2006,529090,990,0.00187114
Lu'an City,341500,2007,710989,2832,0.00398318
Lu'an City,341500,2008,992247,3961,0.00399195
Lu'an City,341500,2009,1329039,16163,0.01216142
Lu'an City,341500,2010,1483943,8485,0.00571787
Lu'an City,341500,2011,2097019,14172,0.00675816
Lu'an City,341500,2012,2510920,24385,0.00971158
Lu'an City,341500,2013,2860000,26512,0.00926993
Lu'an City,341500,2014,3216049,31524,0.00980209
Lu'an City,341500,2015,3613614,32549,0.00900733
Lu'an City,341500,2016,3421307,45563,0.01331743
Lu'an City,341500,2017,3753587,93232,0.02483811
Lu'an City,341500,2018,4129795,107316,0.02598579
Lu'an City,341500,2019,4739907,115201,0.02430449
Lu'an City,341500,2020,5053908,82972,0.01641739
Lu'an City,341500,2021,4846925,49195,0.01014973
Bozhou City,341600,2003,162039,248,0.0015305
Bozhou City,341600,2004,187987,228,0.00121285
Bozhou City,341600,2005,226716,222,0.0009792
Bozhou City,341600,2006,307410,302,0.0009824
Bozhou City,341600,2007,491245,1375,0.00279901
Bozhou City,341600,2008,609322,1261,0.00206951
Bozhou City,341600,2009,801010,1813,0.00226339
Bozhou City,341600,2010,1033412,3553,0.00343813
Bozhou City,341600,2011,1386189,8664,0.00625023
Bozhou City,341600,2012,1772645,9383,0.00529322
Bozhou City,341600,2013,2064319,15129,0.00732881
Bozhou City,341600,2014,2292171,14418,0.00629011
Bozhou City,341600,2015,2778388,28524,0.01026638
Bozhou City,341600,2016,2785781,26729,0.0095948
Bozhou City,341600,2017,3250253,53655,0.01650795
Bozhou City,341600,2018,3436073,52169,0.01518274
Bozhou City,341600,2019,3733929,57857,0.01549494
Bozhou City,341600,2020,3909623,55157,0.01410801
Bozhou City,341600,2021,3773973,51730,0.01370704
Chizhou City,341700,2003,107309,48,0.00044731
Chizhou City,341700,2004,127228,79,0.00062093
Chizhou City,341700,2005,161858,77,0.00047573
Chizhou City,341700,2006,219550,114,0.00051924
Chizhou City,341700,2007,292661,1381,0.00471877
Chizhou City,341700,2008,428349,2629,0.00613752
Chizhou City,341700,2009,547496,5604,0.01023569
Chizhou City,341700,2010,681120,10216,0.01499883
Chizhou City,341700,2011,881080,10150,0.01151995
Chizhou City,341700,2012,1127224,14134,0.01253877
Chizhou City,341700,2013,1306761,17887,0.01368804
Chizhou City,341700,2014,1388229,17075,0.01229984
Chizhou City,341700,2015,1475708,19072,0.01292397
Chizhou City,341700,2016,1489985,17851,0.01198066
Chizhou City,341700,2017,1436093,12792,0.0089075
Chizhou City,341700,2018,1544335,25808,0.0167114
Chizhou City,341700,2019,1646024,24401,0.01482421
Chizhou City,341700,2020,1781087,26987,0.01515198
Chizhou City,341700,2021,1729395,27417,0.01585352
xuancheng city,341800,2003,167314,290,0.00173327
xuancheng city,341800,2004,219931,329,0.00149592
xuancheng city,341800,2006,380299,391,0.00102814
xuancheng city,341800,2007,467468,4171,0.00892254
xuancheng city,341800,2008,684537,8206,0.01198766
xuancheng city,341800,2009,866391,11192,0.01291796
xuancheng city,341800,2010,1042772,23084,0.02213715
xuancheng city,341800,2011,1421828,42518,0.02990376
xuancheng city,341800,2012,1786775,54472,0.03048621
xuancheng city,341800,2013,2051803,68173,0.0332259
xuancheng city,341800,2014,2224992,76879,0.03455248
xuancheng city,341800,2015,2432059,76908,0.03162259
xuancheng city,341800,2016,2547727,90305,0.03544532
xuancheng city,341800,2017,2733264,112055,0.04099677
xuancheng city,341800,2018,2893598,139447,0.04819156
xuancheng city,341800,2019,3256389,156972,0.04820431
xuancheng city,341800,2020,3248085,145029,0.04465062
xuancheng city,341800,2021,3150993,140468,0.04457896
Fuzhou City,350100,2003,686119,3634,0.00529646
Fuzhou City,350100,2004,767087,4188,0.00545962
Fuzhou City,350100,2005,915482,3810,0.00416174
Fuzhou City,350100,2006,1100589,4895,0.00444762
Fuzhou City,350100,2007,1430922,23736,0.01658791
Fuzhou City,350100,2008,1781952,28843,0.01618618
Fuzhou City,350100,2009,2050925,33118,0.01614784
Fuzhou City,350100,2010,2624208,41759,0.01591299
Fuzhou City,350100,2011,3633008,49275,0.01356314
Fuzhou City,350100,2012,4107344,64780,0.01577175
Fuzhou City,350100,2013,5338424,86258,0.01615795
Fuzhou City,350100,2014,5748081,93278,0.01622768
Fuzhou City,350100,2015,7259345,100554,0.01385166
Fuzhou City,350100,2016,8299274,112461,0.0135507
Fuzhou City,350100,2017,9388572,196765,0.02095793
Fuzhou City,350100,2018,9247552,290765,0.03144238
Fuzhou City,350100,2019,9497604,287913,0.03031428
Fuzhou City,350100,2020,9514035,432935,0.04550488
Fuzhou City,350100,2021,9252559,394536,0.04264074
Xiamen City,350200,2003,902510,4465,0.00494731
Xiamen City,350200,2004,1015888,5120,0.00503993
Xiamen City,350200,2005,1216172,5132,0.0042198
Xiamen City,350200,2006,1591253,5935,0.00372977
Xiamen City,350200,2007,1986559,64953,0.03269624
Xiamen City,350200,2008,2380896,83370,0.03501623
Xiamen City,350200,2009,2680527,83952,0.03131921
Xiamen City,350200,2010,3069468,95969,0.03126568
Xiamen City,350200,2011,3890726,121892,0.03132886
Xiamen City,350200,2012,4609779,138129,0.02996434
Xiamen City,350200,2013,5167402,163750,0.03168904
Xiamen City,350200,2014,5482525,173878,0.03171495
Xiamen City,350200,2015,6511705,185764,0.02852771
Xiamen City,350200,2016,7586381,212673,0.02803352
Xiamen City,350200,2017,7970976,237386,0.0297813
Xiamen City,350200,2018,8924985,285559,0.03199546
Xiamen City,350200,2019,9129770,384332,0.04209657
Xiamen City,350200,2020,9769054,412243,0.04219887
Xiamen City,350200,2021,10600015,505626,0.0477005
Putian City,350300,2003,154891,862,0.0055652
Putian City,350300,2004,174588,963,0.00551584
Putian City,350300,2005,195486,1121,0.00573443
Putian City,350300,2006,257419,1240,0.00481705
Putian City,350300,2007,325365,5656,0.01738355
Putian City,350300,2008,453474,6184,0.01363695
Putian City,350300,2009,625898,9222,0.01473403
Putian City,350300,2010,793185,12234,0.01542389
Putian City,350300,2011,954086,14497,0.01519465
Putian City,350300,2012,1177859,18832,0.01598833
Putian City,350300,2013,1441627,26022,0.01805044
Putian City,350300,2014,1579085,35031,0.02218437
Putian City,350300,2015,1887983,27503,0.0145674
Putian City,350300,2016,2069116,24704,0.0119394
Putian City,350300,2017,2281087,31558,0.01383463
Putian City,350300,2018,2279854,32205,0.0141259
Putian City,350300,2019,2358640,24260,0.01028559
Putian City,350300,2020,2562741,31322,0.01222207
Putian City,350300,2021,2480823,19169,0.00772687
Sanming City,350400,2003,214681,1029,0.00479316
Sanming City,350400,2004,248747,1322,0.00531464
Sanming City,350400,2005,281278,1532,0.00544657
Sanming City,350400,2006,338263,2135,0.00631166
Sanming City,350400,2007,457014,7435,0.01626865
Sanming City,350400,2008,530180,8354,0.01575691
Sanming City,350400,2009,751466,12707,0.01690961
Sanming City,350400,2010,970095,12692,0.01308325
Sanming City,350400,2011,1208542,16210,0.01341286
Sanming City,350400,2012,1532235,25314,0.01652096
Sanming City,350400,2013,1873622,33911,0.01809917
Sanming City,350400,2014,1988757,39532,0.01987774
Sanming City,350400,2015,2406724,44556,0.01851313
Sanming City,350400,2016,2538020,44261,0.01743918
Sanming City,350400,2017,2909650,46013,0.01581393
Sanming City,350400,2018,2970992,34507,0.01161464
Sanming City,350400,2019,3165751,32087,0.01013567
Sanming City,350400,2020,3344425,24511,0.00732891
Sanming City,350400,2021,3095584,21652,0.00699448
Quanzhou City,350500,2003,607244,2923,0.00481355
Quanzhou City,350500,2004,717266,3086,0.00430245
Quanzhou City,350500,2005,860902,4337,0.00503774
Quanzhou City,350500,2006,1047758,4948,0.00472246
Quanzhou City,350500,2007,1339436,29508,0.02203017
Quanzhou City,350500,2008,1613540,33956,0.02104441
Quanzhou City,350500,2009,1869038,37001,0.01979682
Quanzhou City,350500,2010,2296427,47247,0.02057414
Quanzhou City,350500,2011,2969907,67413,0.02269869
Quanzhou City,350500,2012,3564437,74016,0.02076513
Quanzhou City,350500,2013,4222149,92275,0.02185498
Quanzhou City,350500,2014,4767231,105743,0.02218122
Quanzhou City,350500,2015,5398893,123785,0.02292785
Quanzhou City,350500,2016,5976651,132399,0.02215271
Quanzhou City,350500,2017,6378085,149060,0.02337065
Quanzhou City,350500,2018,6323844,146891,0.02322812
Quanzhou City,350500,2019,6582451,157351,0.02390462
Quanzhou City,350500,2020,7151369,179534,0.02510484
Quanzhou City,350500,2021,6722799,183780,0.02733683
Zhangzhou City,350600,2003,264043,866,0.00327977
Zhangzhou City,350600,2004,311431,913,0.00293163
Zhangzhou City,350600,2005,358600,1100,0.00306748
Zhangzhou City,350600,2006,495690,1355,0.00273356
Zhangzhou City,350600,2007,682974,8210,0.01202096
Zhangzhou City,350600,2008,922578,12770,0.01384165
Zhangzhou City,350600,2009,1207303,14804,0.01226204
Zhangzhou City,350600,2010,1475168,18014,0.01221149
Zhangzhou City,350600,2011,1824288,25778,0.01413044
Zhangzhou City,350600,2012,2217738,30894,0.01393041
Zhangzhou City,350600,2013,2622539,40040,0.01526765
Zhangzhou City,350600,2014,2745041,44054,0.01604858
Zhangzhou City,350600,2015,3558161,44655,0.01255002
Zhangzhou City,350600,2016,3691462,45000,0.01219029
Zhangzhou City,350600,2017,4291903,76713,0.01787389
Zhangzhou City,350600,2018,4298509,49913,0.0116117
Zhangzhou City,350600,2019,4404412,55114,0.01251336
Zhangzhou City,350600,2020,4451211,36902,0.00829033
Zhangzhou City,350600,2021,4202527,34224,0.00814367
Nanping City,350700,2003,196121,584,0.00297775
Nanping City,350700,2004,217232,794,0.00365508
Nanping City,350700,2005,248186,1185,0.00477464
Nanping City,350700,2006,314277,1330,0.00423194
Nanping City,350700,2007,419383,6131,0.0146191
Nanping City,350700,2008,557180,7198,0.01291863
Nanping City,350700,2009,702391,8686,0.01236633
Nanping City,350700,2010,870249,10074,0.011576
Nanping City,350700,2011,1163218,12923,0.0111097
Nanping City,350700,2012,1311031,14619,0.01115077
Nanping City,350700,2013,1781228,17162,0.00963493
Nanping City,350700,2014,1903858,19173,0.0100706
Nanping City,350700,2015,2399707,19266,0.00802848
Nanping City,350700,2016,2498214,18099,0.00724478
Nanping City,350700,2017,2836435,31004,0.01093062
Nanping City,350700,2018,2964198,36957,0.01246779
Nanping City,350700,2019,3104115,33879,0.01091422
Nanping City,350700,2020,3335636,34908,0.01046517
Nanping City,350700,2021,3085052,26139,0.00847279
Longyan City,350800,2003,245075,1057,0.00431297
Longyan City,350800,2004,273167,1174,0.00429774
Longyan City,350800,2005,316547,1477,0.00466597
Longyan City,350800,2006,407017,1624,0.00399001
Longyan City,350800,2007,550826,5846,0.01061315
Longyan City,350800,2008,607222,9935,0.0163614
Longyan City,350800,2009,890415,13745,0.01543662
Longyan City,350800,2010,1108134,14846,0.0133973
Longyan City,350800,2011,1377312,18739,0.01360549
Longyan City,350800,2012,1649299,26751,0.01621962
Longyan City,350800,2013,1994163,35047,0.01757479
Longyan City,350800,2014,2050747,48170,0.023489
Longyan City,350800,2015,2579654,57886,0.02243944
Longyan City,350800,2016,2742714,55758,0.0203295
Longyan City,350800,2017,2998149,84419,0.02815704
Longyan City,350800,2018,3015305,89809,0.02978438
Longyan City,350800,2019,3222765,133880,0.04154197
Longyan City,350800,2020,3331112,88180,0.02647164
Longyan City,350800,2021,3445623,136333,0.03956701
Ningde City,350900,2003,207670,1120,0.00539317
Ningde City,350900,2004,226521,1021,0.00450731
Ningde City,350900,2005,258559,1371,0.00530246
Ningde City,350900,2006,328893,1601,0.00486784
Ningde City,350900,2007,430179,3945,0.0091706
Ningde City,350900,2008,548023,4186,0.00763837
Ningde City,350900,2009,693331,6061,0.00874186
Ningde City,350900,2010,866062,9552,0.01102923
Ningde City,350900,2011,1140729,7003,0.00613906
Ningde City,350900,2012,1421845,11981,0.00842638
Ningde City,350900,2013,1859540,17391,0.00935231
Ningde City,350900,2014,1999031,12963,0.00648464
Ningde City,350900,2015,2480065,13531,0.00545591
Ningde City,350900,2016,2669204,18212,0.00682301
Ningde City,350900,2017,2970803,25757,0.00867005
Ningde City,350900,2018,2990393,68029,0.02274918
Ningde City,350900,2019,3394394,102543,0.03020952
Ningde City,350900,2020,3570698,117909,0.03302127
Ningde City,350900,2021,3436831,80555,0.02343874
Nanchang City,360100,2003,395944,1402,0.0035409
Nanchang City,360100,2004,521873,1602,0.00306971
